iter	MultiClass
0	2.241384446
1	2.117520429
2	2.01861622
3	1.938222731
4	1.873954081
5	1.813344639
6	1.76640951
7	1.721109493
8	1.684327138
9	1.654730138
10	1.622704006
11	1.599873691
12	1.574817514
13	1.553047052
14	1.535328852
15	1.517082397
16	1.497631137
17	1.481979517
18	1.464849514
19	1.453195638
20	1.442014999
21	1.430941559
22	1.417216326
23	1.405060794
24	1.396356169
25	1.387815658
26	1.381395974
27	1.371683057
28	1.361665675
29	1.354200367
30	1.346537035
31	1.340161313
32	1.333673956
33	1.325948591
34	1.31829812
35	1.314256094
36	1.308219698
37	1.303944197
38	1.298790052
39	1.293065793
40	1.288691942
41	1.283089902
42	1.278371036
43	1.275298298
44	1.272468375
45	1.269255738
46	1.26476024
47	1.261390586
48	1.258720929
49	1.255204791
50	1.250893562
51	1.247915324
52	1.243961989
53	1.238951648
54	1.236601953
55	1.233456144
56	1.230104821
57	1.227497123
58	1.224084461
59	1.221237906
60	1.218984901
61	1.216478189
62	1.213535098
63	1.210317906
64	1.206980565
65	1.205122799
66	1.203064864
67	1.200481736
68	1.196903949
69	1.194390561
70	1.191912585
71	1.189607656
72	1.187078331
73	1.185054182
74	1.182507501
75	1.180094466
76	1.177557665
77	1.17505734
78	1.173115657
79	1.171068976
80	1.169015379
81	1.166045855
82	1.163899305
83	1.16182467
84	1.159310986
85	1.156922304
86	1.155230849
87	1.153478709
88	1.151282221
89	1.148717318
90	1.147105865
91	1.145026833
92	1.143341295
93	1.141421881
94	1.139639007
95	1.137443152
96	1.135399828
97	1.133650496
98	1.131285355
99	1.128712299
100	1.12682923
101	1.12564822
102	1.12409864
103	1.122821934
104	1.121075537
105	1.119120799
106	1.117128312
107	1.115224898
108	1.11333717
109	1.111791128
110	1.110330944
111	1.10912779
112	1.107479373
113	1.105564807
114	1.104287698
115	1.102682295
116	1.10093519
117	1.099701767
118	1.098212706
119	1.096706346
120	1.094998023
121	1.093477939
122	1.092354895
123	1.091193829
124	1.090204709
125	1.088593869
126	1.087163387
127	1.085477623
128	1.084203819
129	1.08205923
130	1.080723484
131	1.079645744
132	1.078151133
133	1.077073105
134	1.075532058
135	1.074347165
136	1.072657189
137	1.071154019
138	1.069926879
139	1.06838088
140	1.067088092
141	1.066094795
142	1.065236053
143	1.064221469
144	1.062916376
145	1.06155844
146	1.060366271
147	1.059044772
148	1.058054323
149	1.057065688
150	1.05583534
151	1.054334793
152	1.052995234
153	1.052019206
154	1.05139655
155	1.049848004
156	1.048562938
157	1.047454014
158	1.046527255
159	1.045764926
160	1.044023004
161	1.043090458
162	1.042026565
163	1.040894123
164	1.039269837
165	1.037893964
166	1.036822767
167	1.03512438
168	1.033841418
169	1.032665137
170	1.031314541
171	1.029626094
172	1.028600958
173	1.027228528
174	1.02666148
175	1.024854138
176	1.023796706
177	1.022720048
178	1.021506961
179	1.020363682
180	1.019566126
181	1.017922739
182	1.017223112
183	1.016099528
184	1.015102429
185	1.013842016
186	1.012650106
187	1.011815219
188	1.010079724
189	1.00894915
190	1.007849459
191	1.006990723
192	1.005660873
193	1.004216222
194	1.003450182
195	1.002161759
196	1.001264479
197	1.000206553
198	0.9989724681
199	0.9981900545
200	0.9972823092
201	0.9964253545
202	0.995634837
203	0.9949237258
204	0.9935897377
205	0.9925489339
206	0.9918409183
207	0.9908306062
208	0.9897463695
209	0.9889204845
210	0.9883472745
211	0.9871601259
212	0.9864971587
213	0.9856966379
214	0.9848188781
215	0.9833219409
216	0.9820485524
217	0.9807622596
218	0.9796552864
219	0.9783417085
220	0.9766965541
221	0.9760568571
222	0.9748198132
223	0.9737974323
224	0.9728025667
225	0.9711218854
226	0.9704394437
227	0.9693806151
228	0.9685446418
229	0.9676940347
230	0.9668775776
231	0.9663363835
232	0.9657847017
233	0.9651312722
234	0.9645349111
235	0.963647122
236	0.9628701843
237	0.9615213547
238	0.9604031207
239	0.9595458688
240	0.9580952986
241	0.9570463581
242	0.9563551208
243	0.9555583396
244	0.9549039602
245	0.9542511562
246	0.953328123
247	0.9524778221
248	0.9518510929
249	0.9507944102
250	0.9496721811
251	0.9485126339
252	0.9475527931
253	0.9469282547
254	0.9461767519
255	0.945409742
256	0.9443316412
257	0.9435256993
258	0.9424926518
259	0.9414134994
